"document"	"topic"	"gamma"
"247"	"1085_Гришка_и_Мишка.txt"	2	1.6431003859915e-05
"248"	"1085_Гришка_и_Мишка.txt"	16	1.64310038598945e-05
"249"	"1085_Гришка_и_Мишка.txt"	13	1.64310038598858e-05
"250"	"1085_Гришка_и_Мишка.txt"	6	1.64310038598836e-05
"251"	"1085_Гришка_и_Мишка.txt"	22	1.64310038598614e-05
"252"	"1085_Гришка_и_Мишка.txt"	21	1.64310038598565e-05
"253"	"1085_Гришка_и_Мишка.txt"	7	1.64310038598512e-05
"254"	"1085_Гришка_и_Мишка.txt"	12	1.64310038598507e-05
"255"	"1085_Гришка_и_Мишка.txt"	9	1.64310038598492e-05
"256"	"1085_Гришка_и_Мишка.txt"	19	1.64310038598468e-05
"257"	"1085_Гришка_и_Мишка.txt"	20	1.64310038598281e-05
"258"	"1085_Гришка_и_Мишка.txt"	15	1.64310038598228e-05
"259"	"1085_Гришка_и_Мишка.txt"	5	1.64310038598219e-05
"260"	"1085_Гришка_и_Мишка.txt"	10	1.64310038598146e-05
"261"	"1085_Гришка_и_Мишка.txt"	1	1.64310038598086e-05
"262"	"1085_Гришка_и_Мишка.txt"	17	1.64310038598035e-05
"263"	"1085_Гришка_и_Мишка.txt"	14	1.64310038597991e-05
"264"	"1085_Гришка_и_Мишка.txt"	3	1.6431003859781e-05
"265"	"1086_Модель_номер_десять.txt"	8	0.999880688279612
"266"	"1086_Модель_номер_десять.txt"	12	5.68151049480739e-06
"267"	"1086_Модель_номер_десять.txt"	2	5.68151049475171e-06
"268"	"1086_Модель_номер_десять.txt"	10	5.68151049470323e-06
"269"	"1086_Модель_номер_десять.txt"	11	5.68151049469116e-06
"270"	"1086_Модель_номер_десять.txt"	5	5.68151049468511e-06
"271"	"1086_Модель_номер_десять.txt"	21	5.68151049468308e-06
"272"	"1086_Модель_номер_десять.txt"	1	5.68151049467768e-06
"273"	"1086_Модель_номер_десять.txt"	19	5.68151049467222e-06
"274"	"1086_Модель_номер_десять.txt"	22	5.68151049466112e-06
"275"	"1086_Модель_номер_десять.txt"	15	5.68151049465316e-06
"276"	"1086_Модель_номер_десять.txt"	6	5.68151049465126e-06
"277"	"1086_Модель_номер_десять.txt"	14	5.68151049464417e-06
"278"	"1086_Модель_номер_десять.txt"	7	5.68151049464044e-06
"279"	"1086_Модель_номер_десять.txt"	13	5.68151049463726e-06
"280"	"1086_Модель_номер_десять.txt"	4	5.68151049461635e-06
"281"	"1086_Модель_номер_десять.txt"	16	5.68151049461391e-06
"282"	"1086_Модель_номер_десять.txt"	20	5.68151049460703e-06
"283"	"1086_Модель_номер_десять.txt"	3	5.68151049459038e-06
"284"	"1086_Модель_номер_десять.txt"	17	5.6815104945832e-06
"285"	"1086_Модель_номер_десять.txt"	18	5.6815104945785e-06
"286"	"1086_Модель_номер_десять.txt"	9	5.68151049451713e-06
"287"	"1096_Два_шага.txt"	11	0.642539481258973
"288"	"1096_Два_шага.txt"	6	0.310334779255047
"289"	"1096_Два_шага.txt"	2	0.0468504598223959
"290"	"1096_Два_шага.txt"	8	1.44884033466443e-05
"291"	"1096_Два_шага.txt"	7	1.44884033466171e-05
"292"	"1096_Два_шага.txt"	15	1.44884033466055e-05
"293"	"1096_Два_шага.txt"	5	1.44884033465961e-05
"294"	"1096_Два_шага.txt"	21	1.44884033465853e-05
"295"	"1096_Два_шага.txt"	12	1.44884033465717e-05
"296"	"1096_Два_шага.txt"	13	1.44884033465709e-05
"297"	"1096_Два_шага.txt"	22	1.44884033465634e-05
"298"	"1096_Два_шага.txt"	1	1.448840334656e-05
"299"	"1096_Два_шага.txt"	19	1.44884033465533e-05
"300"	"1096_Два_шага.txt"	17	1.44884033465284e-05
"301"	"1096_Два_шага.txt"	10	1.44884033465118e-05
"302"	"1096_Два_шага.txt"	18	1.44884033464959e-05
"303"	"1096_Два_шага.txt"	16	1.44884033464949e-05
"304"	"1096_Два_шага.txt"	4	1.44884033464921e-05
"305"	"1096_Два_шага.txt"	14	1.44884033464786e-05
"306"	"1096_Два_шага.txt"	20	1.44884033464491e-05
"307"	"1096_Два_шага.txt"	9	1.44884033464242e-05
"308"	"1096_Два_шага.txt"	3	1.44884033464175e-05
"309"	"1117_Синяя_звезда.txt"	14	0.999864175928049
"310"	"1117_Синяя_звезда.txt"	5	6.46781295028446e-06
"311"	"1117_Синяя_звезда.txt"	15	6.46781295021111e-06
"312"	"1117_Синяя_звезда.txt"	16	6.4678129501818e-06
"313"	"1117_Синяя_звезда.txt"	12	6.46781295013133e-06
"314"	"1117_Синяя_звезда.txt"	8	6.46781295008778e-06
"315"	"1117_Синяя_звезда.txt"	11	6.46781295008522e-06
"316"	"1117_Синяя_звезда.txt"	21	6.46781295007905e-06
"317"	"1117_Синяя_звезда.txt"	7	6.46781295007575e-06
"318"	"1117_Синяя_звезда.txt"	2	6.46781295004295e-06
"319"	"1117_Синяя_звезда.txt"	18	6.46781295004261e-06
"320"	"1117_Синяя_звезда.txt"	10	6.46781295003715e-06
